sample,candidate_universe,validation_scheme,model,n_events_evaluated,n_folds_evaluated,all_folds_converged,selected_lambda_median,selected_lambda_min,selected_lambda_max,mean_log_loss,top1_accuracy,top3_accuracy,top5_accuracy,mean_rank,mean_reciprocal_rank,gravity_mean_log_loss,log_loss_improvement_vs_gravity
household_relocation,full_64,household_grouped_5fold,gravity_mle_disk_within,264,5,True,0.0,0.0,0.0,1.7117888082880934,0.5984848484848485,0.8257575757575758,0.8636363636363636,3.3106060606060606,0.7209301702379659,1.7117888082880934,0.0
household_relocation,full_64,household_grouped_5fold,gis_joint_ridge,264,5,True,0.1,0.1,1.0,1.6165036925859786,0.5984848484848485,0.8484848484848485,0.875,3.1742424242424243,0.7306906464026902,1.7117888082880934,0.09528511570211484
household_relocation,full_64,household_grouped_5fold,gis_joint_unpenalized,264,5,True,0.0,0.0,0.0,1.613516057105118,0.5984848484848485,0.8522727272727273,0.875,3.2083333333333335,0.731643239299973,1.7117888082880934,0.09827275118297552
household_relocation,full_64,household_grouped_5fold,radiation_adapted,264,5,True,0.0,0.0,0.0,1.8800951537043642,0.4356060606060606,0.803030303030303,0.821969696969697,3.640151515151515,0.6353853233005983,1.7117888082880934,-0.16830634541627076
household_relocation,interdistrict_63,household_grouped_5fold,gravity_mle_disk_within,107,5,True,0.0,0.0,0.0,2.518454077508641,0.40186915887850466,0.6542056074766355,0.7009345794392523,5.542056074766355,0.549669250181451,2.518454077508641,0.0
household_relocation,interdistrict_63,household_grouped_5fold,gis_joint_ridge,107,5,True,0.01,0.001,1.0,2.2238992401479805,0.411214953271028,0.6542056074766355,0.8317757009345794,5.97196261682243,0.5802658323537225,2.518454077508641,0.29455483736066057
household_relocation,interdistrict_63,household_grouped_5fold,gis_joint_unpenalized,107,5,True,0.0,0.0,0.0,2.2801221756564996,0.40186915887850466,0.6448598130841121,0.8317757009345794,5.906542056074766,0.5748945653586623,2.518454077508641,0.23833190185214148
household_relocation,interdistrict_63,household_grouped_5fold,radiation_adapted,107,5,True,0.0,0.0,0.0,2.6338118273242004,0.42990654205607476,0.5607476635514018,0.6448598130841121,6.121495327102804,0.5351743138081062,2.518454077508641,-0.11535774981555935
household_relocation,full_64,household_grouped_5fold,nested_gravity,264,5,True,0.0,0.0,0.0,1.6999678364817392,0.5984848484848485,0.8257575757575758,0.8712121212121212,3.242424242424242,0.7220268875283697,1.7117888082880934,0.011820971806354219
household_relocation,full_64,household_grouped_5fold,nested_gis_ridge,264,5,True,0.01,0.001,1.0,1.5868283451364782,0.5946969696969697,0.8409090909090909,0.9242424242424242,3.4204545454545454,0.7277701407536765,1.7117888082880934,0.12496046315161524
