district,district_name_geometry_raw,district_pcode,division,division_name_geometry_raw,central_lon,central_lat,central_point_method,polygon_centroid_inside,area_km2_approx,within_district_mean_pair_km_mc,within_district_disk_proxy_km,geometry_source,geometry_source_url,population_2022_total,population_source,population_source_url,population_pdf_pages
Naogaon,Naogaon,BD5064,Rajshahi,Rajshahi,88.75157168481341,24.899642309556302,polygon_centroid,True,3483.9591451268643,31.923048313066836,30.151517425578483,Bangladesh DGHS hosted BBS 2020 ADM2 layer,https://gis.dghs.gov.bd/server/rest/services/Hosted/bgd_admbnda_adm2_bbs_20201113/FeatureServer/0,2784599,"BBS Population and Housing Census 2022, National Report Volume I, Table P02",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/9ce5bd160bb14a1ab1eabe886adddb9a.pdf,PDF pages 199-200 (printed pages 151-152)
Narail,Narail,BD4065,Khulna,Khulna,89.58017588001131,23.130099524025972,polygon_centroid,True,993.8605651091784,17.446834674302853,16.104059861434568,Bangladesh DGHS hosted BBS 2020 ADM2 layer,https://gis.dghs.gov.bd/server/rest/services/Hosted/bgd_admbnda_adm2_bbs_20201113/FeatureServer/0,788671,"BBS Population and Housing Census 2022, National Report Volume I, Table P02",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/9ce5bd160bb14a1ab1eabe886adddb9a.pdf,PDF pages 199-200 (printed pages 151-152)
Narayanganj,Narayanganj,BD3067,Dhaka,Dhaka,90.57800728885768,23.72321764563793,polygon_centroid,True,705.3015529699624,15.036915025239582,13.566257836297233,Bangladesh DGHS hosted BBS 2020 ADM2 layer,https://gis.dghs.gov.bd/server/rest/services/Hosted/bgd_admbnda_adm2_bbs_20201113/FeatureServer/0,3909138,"BBS Population and Housing Census 2022, National Report Volume I, Table P02",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/9ce5bd160bb14a1ab1eabe886adddb9a.pdf,PDF pages 199-200 (printed pages 151-152)
Narsingdi,Narsingdi,BD3068,Dhaka,Dhaka,90.77323161781638,24.00229077051571,polygon_centroid,True,1173.17122194916,18.345010018650765,17.496587274193605,Bangladesh DGHS hosted BBS 2020 ADM2 layer,https://gis.dghs.gov.bd/server/rest/services/Hosted/bgd_admbnda_adm2_bbs_20201113/FeatureServer/0,2584452,"BBS Population and Housing Census 2022, National Report Volume I, Table P02",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/9ce5bd160bb14a1ab1eabe886adddb9a.pdf,PDF pages 199-200 (printed pages 151-152)
Natore,Natore,BD5069,Rajshahi,Rajshahi,89.08685859538626,24.38036728752817,polygon_centroid,True,1918.6962224710733,23.581333429650847,22.375654992901904,Bangladesh DGHS hosted BBS 2020 ADM2 layer,https://gis.dghs.gov.bd/server/rest/services/Hosted/bgd_admbnda_adm2_bbs_20201113/FeatureServer/0,1859922,"BBS Population and Housing Census 2022, National Report Volume I, Table P02",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/9ce5bd160bb14a1ab1eabe886adddb9a.pdf,PDF pages 199-200 (printed pages 151-152)
Netrakona,Netrakona,BD4572,Mymensingh,Mymensingh,90.84462979207274,24.870760456473434,polygon_centroid,True,2836.3326983693987,30.195754757343675,27.20515675822105,Bangladesh DGHS hosted BBS 2020 ADM2 layer,https://gis.dghs.gov.bd/server/rest/services/Hosted/bgd_admbnda_adm2_bbs_20201113/FeatureServer/0,2324853,"BBS Population and Housing Census 2022, National Report Volume I, Table P02",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/9ce5bd160bb14a1ab1eabe886adddb9a.pdf,PDF pages 199-200 (printed pages 151-152)
Nilphamari,Nilphamari,BD5573,Rangpur,Rangpur,88.92952310037882,26.02465511229336,polygon_centroid,True,1621.125478912145,21.71442073838263,20.567474267029482,Bangladesh DGHS hosted BBS 2020 ADM2 layer,https://gis.dghs.gov.bd/server/rest/services/Hosted/bgd_admbnda_adm2_bbs_20201113/FeatureServer/0,2092568,"BBS Population and Housing Census 2022, National Report Volume I, Table P02",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/9ce5bd160bb14a1ab1eabe886adddb9a.pdf,PDF pages 199-200 (printed pages 151-152)
Noakhali,Noakhali,BD2075,Chattogram,Chittagong,91.1246574598647,22.693696873201205,polygon_centroid,True,2665.04804649204,36.81638177549343,26.37091314509303,Bangladesh DGHS hosted BBS 2020 ADM2 layer,https://gis.dghs.gov.bd/server/rest/services/Hosted/bgd_admbnda_adm2_bbs_20201113/FeatureServer/0,3625442,"BBS Population and Housing Census 2022, National Report Volume I, Table P02",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/9ce5bd160bb14a1ab1eabe886adddb9a.pdf,PDF pages 199-200 (printed pages 151-152)
Pabna,Pabna,BD5076,Rajshahi,Rajshahi,89.38533226405279,24.053171551500466,polygon_centroid,True,2401.335758643225,27.413839296213553,25.032204082086295,Bangladesh DGHS hosted BBS 2020 ADM2 layer,https://gis.dghs.gov.bd/server/rest/services/Hosted/bgd_admbnda_adm2_bbs_20201113/FeatureServer/0,2909624,"BBS Population and Housing Census 2022, National Report Volume I, Table P02",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/9ce5bd160bb14a1ab1eabe886adddb9a.pdf,PDF pages 199-200 (printed pages 151-152)
Panchagarh,Panchagarh,BD5577,Rangpur,Rangpur,88.57545903384636,26.285129105220673,polygon_centroid,True,1394.685562364757,23.375970754889597,19.07703161413679,Bangladesh DGHS hosted BBS 2020 ADM2 layer,https://gis.dghs.gov.bd/server/rest/services/Hosted/bgd_admbnda_adm2_bbs_20201113/FeatureServer/0,1179843,"BBS Population and Housing Census 2022, National Report Volume I, Table P02",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/9ce5bd160bb14a1ab1eabe886adddb9a.pdf,PDF pages 199-200 (printed pages 151-152)
Patuakhali,Patuakhali,BD1078,Barishal,Barisal,90.39899789425473,22.190855616455497,polygon_centroid,True,2595.0583536755294,34.56723861297733,26.022331846376446,Bangladesh DGHS hosted BBS 2020 ADM2 layer,https://gis.dghs.gov.bd/server/rest/services/Hosted/bgd_admbnda_adm2_bbs_20201113/FeatureServer/0,1727254,"BBS Population and Housing Census 2022, National Report Volume I, Table P02",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/9ce5bd160bb14a1ab1eabe886adddb9a.pdf,PDF pages 199-200 (printed pages 151-152)
Pirojpur,Pirojpur,BD1079,Barishal,Barisal,89.9931800472945,22.53379280390796,polygon_centroid,True,1262.034861754626,27.189682407042056,18.147145558537375,Bangladesh DGHS hosted BBS 2020 ADM2 layer,https://gis.dghs.gov.bd/server/rest/services/Hosted/bgd_admbnda_adm2_bbs_20201113/FeatureServer/0,1198195,"BBS Population and Housing Census 2022, National Report Volume I, Table P02",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/9ce5bd160bb14a1ab1eabe886adddb9a.pdf,PDF pages 199-200 (printed pages 151-152)
Rajbari,Rajbari,BD3082,Dhaka,Dhaka,89.5615266675921,23.727655125432072,polygon_centroid,True,1142.1155580580235,19.35522522364671,17.263453154267562,Bangladesh DGHS hosted BBS 2020 ADM2 layer,https://gis.dghs.gov.bd/server/rest/services/Hosted/bgd_admbnda_adm2_bbs_20201113/FeatureServer/0,1189818,"BBS Population and Housing Census 2022, National Report Volume I, Table P02",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/9ce5bd160bb14a1ab1eabe886adddb9a.pdf,PDF pages 199-200 (printed pages 151-152)
